School,Grade,Class,Number,Last name,First name,Fist name(KANA),Last name(KANA),Sex,Date of birth,Guardian,Relationship,Father name,Mother name,Sibling1 name,Sibling1 date of birth,Sibling2 name,Sibling2 date of birth,Sibling3 name,Sibling3 date of birth,Firstborn,District,Zip code,Address,Way of commuting (out bound),Bus course (out bound),Bus station (out bound),Train station (out bound),Way of commuting (in bound),Bus course (in bound),Bus station (in bound),Train station (in bound),Commuting time,Telephone(home),FAX(home),E-mail1,E-mail2,Mobile(father),Work place(father),Work phone(father),Mobile(mother),Work place(mother),Work phone(mother),EmergencyContact1,EmergencyContact2,EmergencyContact3,Lesson1,Lesson2,Lesson3,Award,Mobile flag,Mobile number,Allergy,School lunch,Milk,Entrance date,Alma mater,Remarks
小学校,1,1,1,13_1_1,1番,イチサンイチイチ,イチバン,男,2000/03/04,保護者あｆ,父,ちち,はは,兄弟1,2001/01/01,兄弟2,2003/02/03,きょうだい３３３,2010/03/01,ああ,地区名称２,399-8303,長野県あ安曇野市穂高,徒歩,バスコース１,バス乗降場所２,電車駅３,自転車,バスコース１,バス乗降場所１,電車駅４,30分ほど,0120-444-444,090-3022-2231,oiuerwwoiwwer@gfdsa.com,,090-2020-2020,勤務先父,9292-233-321,209-1232-4213,ははきんむｓ,1234-321-2132,993-11-11,232-1232-2,2020-330212,野球,サッカー,バスケット,いろいろ,1,929-323-3123,たこいか,1,1,2013/04/01,信学会の幼稚園,aaaa

bb

c
小学校,1,1,2,2013小,1年1組2番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,3,2013小,1年1組3番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,4,2013小,1年1組4番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,5,2013小,1年1組5番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,6,2013小,1年1組6番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,7,2013小,1年1組7番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,8,2013小,1年1組8番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,9,2013小,1年1組9番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,10,2013小,1年1組10番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,1,11,2013小,1年1組11番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,1,2013小,1年2組1番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,2,2013小,1年2組2番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,3,2013小,1年2組3番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
